Region report						
Network name: APOE-4_4						
Region Name	Degree	Clustering Coefficient	Betweenness Centrality	Module	Regional Efficiency	Participation Coefficient
'left middle temporal gyrus, posterior	0.266055045872	0.541871921182	0.00750479832254	1	0.587155963303	0.190249702735
'right middle temporal gyrus, posterior	0.247706422018	0.48433048433	0.0123690484804	2	0.593272171254	0.458161865569
'left middle temporal gyrus, temporooccipital	0.119266055046	0.807692307692	0.00038685045535	1	0.480122324159	0.260355029586
'right middle temporal gyrus, temporooccipital	0.174311926606	0.602339181287	0.00242484495506	2	0.521406727829	0.332409972299
'left inferior temporal gyrus, anterior	0.0917431192661	0.822222222222	0.000194578869832	1	0.474770642202	0.18
'right inferior temporal gyrus, anterior	0.183486238532	0.594736842105	0.00373516471316	0	0.559633027523	0.565
'left inferior temporal gyrus, posterior	0.211009174312	0.616600790514	0.00303380938405	1	0.540519877676	0.0831758034026
'right inferior temporal gyrus, posterior	0.284403669725	0.466666666667	0.0171823892965	2	0.617737003058	0.561914672216
'left inferior temporal gyrus, temporooccipital	0.201834862385	0.619047619048	0.00324065195964	1	0.538990825688	0.165289256198
'right inferior temporal gyrus, temporooccipital	0.119266055046	0.653846153846	0.00109583011089	2	0.490825688073	0.378698224852
'left postcentral gyrus'	0.201834862385	0.515151515152	0.00791828737841	1	0.559633027523	0.566115702479
'right postcentral gyrus'	0.174311926606	0.520467836257	0.010758374555	2	0.539755351682	0.332409972299
'left superior parietal lobule'	0.119266055046	0.615384615385	0.00222123315147	3	0.483944954128	0.497041420118
'right superior parietal lobule'	0.0733944954128	0.964285714286	5,94E+06	2	0.446483180428	0.0
'left supramarginal gyrus, anterior division'	0.146788990826	0.758333333333	0.000884448756806	1	0.491590214067	0.21875
'right supramarginal gyrus, anterior division'	0.0917431192661	0.933333333333	8,80E+06	2	0.45871559633	0.0
'left supramarginal gyrus, posterior division'	0.183486238532	0.689473684211	0.0019803151903	1	0.520642201835	0.255
'right supramarginal gyrus, posterior division'	0.155963302752	0.742647058824	0.000971302996647	2	0.5	0.0
'left angular gyrus'	0.192660550459	0.547619047619	0.00595033811442	1	0.529816513761	0.444444444444
'right angular gyrus'	0.155963302752	0.698529411765	0.00109377852997	2	0.495412844037	0.0
'left lateral occipital cortex, superior	0.155963302752	0.544117647059	0.00362314984575	3	0.514525993884	0.498269896194
'right lateral occipital cortex, superior	0.146788990826	0.558333333333	0.00416790217471	2	0.490825688073	0.4296875
'left lateral occipital cortex, inferior	0.128440366972	0.659340659341	0.00130236518642	1	0.494648318043	0.408163265306
'right lateral occipital cortex, inferior	0.137614678899	0.657142857143	0.00125775280447	2	0.484709480122	0.32
'left intracalcarine cortex'	0.174311926606	0.590643274854	0.00651013505206	3	0.55504587156	0.193905817175
'right intracalcarine cortex'	0.220183486239	0.521739130435	0.00966409427793	3	0.597859327217	0.538194444444
'left frontal medial cortex'	0.119266055046	0.692307692308	0.000898778615562	0	0.512232415902	0.355029585799
'right frontal medial cortex'	0.0917431192661	0.866666666667	0.000164573965164	0	0.483180428135	0.18
